timestamp,process_id, process_name, execution_processid
02-02-2025 01:26:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 03:46:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 03:47:55,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 05:16:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:01:49,0x23c,C:\Windows\System32\lsass.exe,572
02-02-2025 06:19:43,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 06:16:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:16:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:26:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:26:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:36:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:06:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:06:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:36:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:16:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:43:49,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 11:36:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 11:16:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 11:29:53,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 11:29:53,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 11:26:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 11:46:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:26:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:26:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 15:26:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 15:16:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:46:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:43:32,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 08:10:45,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 08:16:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 08:26:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:26:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:16:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:36:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:56:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:07:39,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:29:08,0x23c,C:\Windows\System32\lsass.exe,572
02-02-2025 14:16:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 15:46:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 15:46:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
